Greenwichtijd	GMT	Greenwich-tijd
Greenwood	groenhout
Griek	Griekse	Helleen
Griekenland	Griekse Republiek
Griekse	Griek	Helleen
Griekse Republiek	Griekenland
Grindle	Bowfin
Groenen	groen	heerlijkheid	sinopel
Groot-Brittannië	Britannië	V.K.	Verenigd Koninkrijk	Verenigd Koninkrijk van Groot-Brittannië en Noord-Ierland
Groot-Londen	Londen	Londens
Groothertogdom Luxemburg	Luxemburg
Grote Oceaan	Pacifische Oceaan	Stille Oceaan
Grote Socialistische Lybische Arabische Volksjamahiriya	Libië
Guangzhou	Kanton
Guatemala	Republiek Guatemala
Guinee-Bissau	Republiek Guinea-Bissau
Gunstock	kolf
H-bom	waterstofbom
Hades	Acheron	Tartarus	onderwereld	schimmenrijk
Hallo	Hullo
Hamburger	biefburger	gehakt
Haspengouws	leemachtig
Havana	havanna
Hawaii	Hawaï
Hawaï	Hawaii
Hebreeuwse	Hebreeërs	Jood	jodin	jood
Hebreeërs	Hebreeuwse	Jood	jodin	jood
Heiland	Christus	Galileeër	Godmens	Godslam	Heilsprofeet	Jezus	Jezus Christus	Lieveheer	Mensenzoon	Messias	Nazareeër	Opperherder	Redder	Zaligmaker	de Redder	de Verlosser	godslam	heilsprofeet	mensenzoon	messias	opperherder	redder
Heilige Geest	parakleet
Heilige Graal	heilige graal
Heilsprofeet	Christus	Galileeër	Godmens	Godslam	Heiland	Jezus	Jezus Christus	Lieveheer	Mensenzoon	Messias	Nazareeër	Opperherder	Redder	Zaligmaker	de Redder	de Verlosser	godslam	heilsprofeet	mensenzoon	messias	opperherder	redder
Helena	Eliene
Helleen	Griek	Griekse
Helvetica	sans serif	schreefloos
Hemelvaart	beklimming	bestijging	hemelvaart	opklimming	opkomst	opstijgen	stijging
Heracles	Hercules
Hercules	Heracles
Hermitage	ermitage	hermitage	kluis	kluizenaarshut	kluizenaarswoning
Hessisch	kaplaars	laarzen	wellington
Hizkia	Jechizkia
Ho Chi Minhstad	Saigon
Hoge Porte	Sublieme Porte
Hokkaido	Ezo
