(house)painter	kladschilder;schilder
sergiand	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
sergiant	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
sergiant der blanke burgerije	sergant der blanke burgerij;sergeant der blanke burgerije;sergeant van de burgerij
serginat	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
sergt:	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;serishant;serjant;zergeant;zergiand;zergiant;zergt:
serishant	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serjant;zergeant;zergiand;zergiant;zergt:
serjant	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;zergeant;zergiand;zergiant;zergt:
shabandaar	sabandaar;sjabandaar;sjahbandar
ship carpenter	scheeps timmerman;scheeptimmerman;schipstimmerman;ship's carpenter
ship corporal	scheepscorporaal;scheepskorporaal
ship's boy	cabin boy;jongen
ship's carpenter	scheeps timmerman;scheeptimmerman;schipstimmerman;ship carpenter
ship-carpenter's mate	onder(scheeps)timmerman;onderscheepstimmerman
siapij	sepai;sipahi;sipai;sipaij;sipair;sipais;siphahis;siphai;siphaij;sippaijs
siekentroost	sieketrooster;spiritual comforter;ziekentroost;ziekentrooster
sieketrooster	siekentroost;spiritual comforter;ziekentroost;ziekentrooster
siepier	cepier;ciepier;cipier;sipier
silversmid	zilversmid;zilversmith
sipahi	sepai;siapij;sipai;sipaij;sipair;sipais;siphahis;siphai;siphaij;sippaijs
sipai	sepai;siapij;sipahi;sipaij;sipair;sipais;siphahis;siphai;siphaij;sippaijs
sipaij	sepai;siapij;sipahi;sipai;sipair;sipais;siphahis;siphai;siphaij;sippaijs
sipair	sepai;siapij;sipahi;sipai;sipaij;sipais;siphahis;siphai;siphaij;sippaijs
sipais	sepai;siapij;sipahi;sipai;sipaij;sipair;siphahis;siphai;siphaij;sippaijs
siphahis	sepai;siapij;sipahi;sipai;sipaij;sipair;sipais;siphai;siphaij;sippaijs
siphai	sepai;siapij;sipahi;sipai;sipaij;sipair;sipais;siphahis;siphaij;sippaijs
siphaij	sepai;siapij;sipahi;sipai;sipaij;sipair;sipais;siphahis;siphai;sippaijs
sipier	cepier;ciepier;cipier;siepier
sippaijs	sepai;siapij;sipahi;sipai;sipaij;sipair;sipais;siphahis;siphai;siphaij
sirurgeijn	chirugijn;chirurgeijn;chrirugijn;churugeijn;chururgijn;meester;surgeon
sjabandaar	sabandaar;shabandaar;sjahbandar
sjahbandar	sabandaar;shabandaar;sjabandaar
slootemaker	lock maker;lockmaker;slotenmaker
slotenmaker	lock maker;lockmaker;roerslotenmaker;slootemaker
smidsgezel	smitsgesel
smit	smith;smits
smith	smit;smits
smits	smit;smith
smitsgesel	smidsgezel
soldaaat	gegagieerde soldaat;gemene;soldaar;soldaet;soldat;soldier;solt:;zoldaat;zoldaet;zoldt:
soldaar	gegagieerde soldaat;gemene;soldaaat;soldaet;soldat;soldier;solt:;zoldaat;zoldaet;zoldt:
soldaet	gegagieerde soldaat;gemene;soldaaat;soldaar;soldat;soldier;solt:;zoldaat;zoldaet;zoldt:
soldat	gegagieerde soldaat;gemene;soldaaat;soldaar;soldaet;soldier;solt:;zoldaat;zoldaet;zoldt:
soldier	gegagieerde soldaat;gemene;soldaaat;soldaar;soldaet;soldat;solt:;zoldaat;zoldaet;zoldt:
soldij boekhouder	soldijboekhouder;zoldij boekhouder
soldij overdrager	soldijoverdrager;zoldijoverdrager
soldijboekhouder	soldij boekhouder;zoldij boekhouder
soldijoverdrager	soldij overdrager;zoldijoverdrager
solt:	gegagieerde soldaat;gemene;soldaaat;soldaar;soldaet;soldat;soldier;zoldaat;zoldaet;zoldt:
sousluitenant	onder leuijtenant;onder lieutenant ;onderluijtenant ;onderluitenant;second lieutenant (military) 
sousluitenant der artillerie	Pl: kapitain luitenant der artillerije;lieutenant der arthillerie;lieutenant der arthillerije;luitenant van de artillerie;luitenant-ingenieur;sousluitenant der artillerij
sousluitenant der artillerij	Pl: kapitain luitenant der artillerije;lieutenant der arthillerie;lieutenant der arthillerije;luitenant van de artillerie;luitenant-ingenieur;sousluitenant der artillerie
spiritual comforter	siekentroost;sieketrooster;ziekentroost;ziekentrooster
sseijlmaker	sail maker;seijlmaker;zeijlmaker;zeilmaker;zeylemaker;zijlemaker
stads hebbergier	stads herbergier;stadsherbergier
stads herbergier	stads hebbergier;stadsherbergier
stadsherbergier	stads hebbergier;stads herbergier
stadsmeester	stadstimmerman
stadstimmerman	stadsmeester
standard-bearer	ensign;ensign bearer;vaanderig;vaandrich ;vaendrig;vandrig;vandrigt;vendrig ;viendrig
steenhouwer	stone mason
steersman	navigator;stuurman
stone mason	steenhouwer
strandwachter	strandwagter
strandwagter	strandwachter
stuurman	navigator;steersman
supercarga	carga;supercargo;supperc:;suppercarga
supercargo	carga;supercarga;supperc:;suppercarga
supervisor of Asian crew members	mandadoor;mandur
supperc:	carga;supercarga;supercargo;suppercarga
suppercarga	carga;supercarga;supercargo;supperc:
surgeon	chirugijn;chirurgeijn;chrirugijn;churugeijn;chururgijn;meester;sirurgeijn
surveyor	landmeeter;landmeter
third barber-surgeon	derde barbier
third mate	derde stuurman;derde waak;derdewaak;derdewaek;hulpstuurman
third surgeon	derde meester;derde neester;derden meester
tin founder	tinsmith
tinsmith	tin founder
trommelaar	drummer;trommelslager
trommelslager	drummer;trommelaar
trompetblazer	trompettier;trumpeter
trompettier	trompetblazer;trumpeter
trumpeter	trompetblazer;trompettier
tweede barbier	second barber-surgeon
tweede bootsman	boatswain (foremast);schieman;schiemand
tweede lanspassaat	second lance-corporal
tweede luitenant	second lieutenant (military)
tweede meester	second surgeon
tweede onderchirurgijn	second-surgeon's mate
tweede scherprechter	tweede scherpregter
tweede scherpregter	tweede scherprechter
tweede schieman	boatswain's mate (foremast);schiemansmaat;schiemansmaet;schimansmaat
tweede stuurman	onderstuurman;second mate
tweede zeilmaker	second sail maker
vaanderig	ensign;ensign bearer;standard-bearer;vaandrich ;vaendrig;vandrig;vandrigt;vendrig ;viendrig
vaandrich 	ensign;ensign bearer;standard-bearer;vaanderig;vaendrig;vandrig;vandrigt;vendrig ;viendrig
vaandrig der blanke burgerij	vaandrig van de burgerij
vaandrig van de burgerij	vaandrig der blanke burgerij
vaendrig	ensign;ensign bearer;standard-bearer;vaanderig;vaandrich ;vandrig;vandrigt;vendrig ;viendrig
vandrig	ensign;ensign bearer;standard-bearer;vaanderig;vaandrich ;vaendrig;vandrigt;vendrig ;viendrig
vandrigt	ensign;ensign bearer;standard-bearer;vaanderig;vaandrich ;vaendrig;vandrig;vendrig ;viendrig
vendrig 	ensign;ensign bearer;standard-bearer;vaanderig;vaandrich ;vaendrig;vandrig;vandrigt;viendrig
verloskundige	midwife
viendrig	ensign;ensign bearer;standard-bearer;vaanderig;vaandrich ;vaendrig;vandrig;vandrigt;vendrig 
vigair	vigairos
vigairos	vigair
vlaggeman	vlaggenman;vlagofficier
vlaggenman	vlaggeman;vlagofficier
vlagofficier	vlaggeman;vlaggenman
waagemaaker	cartwright;waagemaker;wagemaaker;wagemaker
waagemaker	cartwright;waagemaaker;wagemaaker;wagemaker
waard	herbergier;kastelein
wagemaaker	cartwright;waagemaaker;waagemaker;wagemaker
wagemaker	cartwright;waagemaaker;waagemaker;wagemaaker
water fiscaal	waterfiscaal
waterfiscaal	water fiscaal
weapons master	constabel;constapel;gunner
weapons-master's mate	constabelsmaet;constapelsmaat;constapelsmaet;konstabelsmaat
weesmoder	weesmoeder;weezenmoeder
weesmoeder	weesmoder;weezenmoeder
weezenmoeder	weesmoder;weesmoeder
wenkelier	winkelier
wheel maker	rademaker
windmill maker	molenmaker
winkelier	wenkelier
young surgeon	jongchirurgijn
zadelmaaker	sadelmaaker;sadelmaeker;sadelmaker;zadelmaker
zadelmaker	sadelmaaker;sadelmaeker;sadelmaker;zadelmaaker
zeijlmaker	sail maker;seijlmaker;sseijlmaker;zeilmaker;zeylemaker;zijlemaker
zeilmaker	sail maker;seijlmaker;sseijlmaker;zeijlmaker;zeylemaker;zijlemaker
zergeant	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergiand;zergiant;zergt:
zergiand	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiant;zergt:
zergiant	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergt:
zergt:	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant
zeylemaker	sail maker;seijlmaker;sseijlmaker;zeijlmaker;zeilmaker;zijlemaker
ziekenbezoeker	infirmary visitor;krankbesoeker;krankbezoeker;lekelezer
ziekentroost	siekentroost;sieketrooster;spiritual comforter;ziekentrooster
ziekentrooster	siekentroost;sieketrooster;spiritual comforter;ziekentroost
zijlemaker	sail maker;seijlmaker;sseijlmaker;zeijlmaker;zeilmaker;zeylemaker
zilversmid	silversmid;zilversmith
zilversmith	silversmid;zilversmid
zoldaat	gegagieerde soldaat;gemene;soldaaat;soldaar;soldaet;soldat;soldier;solt:;zoldaet;zoldt:
zoldaet	gegagieerde soldaat;gemene;soldaaat;soldaar;soldaet;soldat;soldier;solt:;zoldaat;zoldt:
zoldij boekhouder	soldij boekhouder;soldijboekhouder
zoldijoverdrager	soldij overdrager;soldijoverdrager
zoldt:	gegagieerde soldaat;gemene;soldaaat;soldaar;soldaet;soldat;soldier;solt:;zoldaat;zoldaet
