(house)painter	kladschilder;schilder
boswagters adjunct	adjunct-boswachter
botteliermaet	assistant steward;botteliersm:;botteliersmaat
botteliersm:	assistant steward;botteliermaet;botteliersmaat
botteliersmaat	assistant steward;botteliermaet;botteliersm:
boukhouder	boekh:;boekhouden;boekouder;bookkeeper
boy guard	cabin steward;junior steward;kajuitsjongen
brandspuitmaker	brandspuitslangenmaker;fire hose maker;manual fire engine maker
brandspuitslangenmaker	brandspuitmaker;fire hose maker;manual fire engine maker
brass-founder	blikjeager;blikslager
bricklayer	gegagieerden metselaar;metselaer
busschieter	boschieter;bosgieter;bosschier;bosschieter;bosschiter
bussemaker	bossemaker
cabin boy	jongen;ship's boy
cabin steward	boy guard;junior steward;kajuitsjongen
cabinet maker	kastenmaker;meubelmaker;schrijnwerker
cadet	cadet militair
cadet militair	cadet
caffer	casser;kaffer
cannanier	cannonir;cannonnier;canomien;canonier;canonnier;kananier;kanonier;kanonnier
cannonir	cannanier;cannonnier;canomien;canonier;canonnier;kananier;kanonier;kanonnier
cannonnier	cannanier;cannonir;canomien;canonier;canonnier;kananier;kanonier;kanonnier
canomien	cannanier;cannonir;cannonnier;canonier;canonnier;kananier;kanonier;kanonnier
canonier	cannanier;cannonir;cannonnier;canomien;canonnier;kananier;kanonier;kanonnier
canonnier	cannanier;cannonir;cannonnier;canomien;canonier;kananier;kanonier;kanonnier
cap:	capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capetain	cap:;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capetijn der militaijre	cap:;capetain;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitaijn	cap:;capetain;capetijn der militaijre;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitain	cap:;capetain;capetijn der militaijre;capitaijn;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitain commandant	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitain der burgereij	baas van de schutterije;capitain der burgererije;capitain der burgerij;capitain der burgerije;capn: der burgerij;captain of the civic guard;kapitein der burgerij;kapitein der burgerije
capitain der burgererije	baas van de schutterije;capitain der burgereij;capitain der burgerij;capitain der burgerije;capn: der burgerij;captain of the civic guard;kapitein der burgerij;kapitein der burgerije
capitain der burgerij	baas van de schutterije;capitain der burgereij;capitain der burgererije;capitain der burgerije;capn: der burgerij;captain of the civic guard;kapitein der burgerij;kapitein der burgerije
capitain der burgerije	baas van de schutterije;capitain der burgereij;capitain der burgererije;capitain der burgerij;capn: der burgerij;captain of the civic guard;kapitein der burgerij;kapitein der burgerije
capitain der militie	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitain leuijtenant	capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitain leytenant	capitain leuijtenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitain lieutenant	capitain leuijtenant;capitain leytenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitain lieutenant van de militie	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitain luijtenant	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitain luijtenant der militie	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
